#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/BB_corr_scale/CD_corr_MP79.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Seq_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# GRP1 :    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP2 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    1.0000    0.0000  
# GRP4 :    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000  
# GRP5 :    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000  
# GRP6 :    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           GRP5           GRP6           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        -0.1128         -0.0596         -0.3456         -0.0347         0.2086         0.0518      
     268.0        -0.1214         0.2450         -0.1564         -0.2508         0.1141         0.1687      
     267.0        0.0815         0.0164         -0.0180         -0.1109         0.0058         0.0014      
     266.0        0.0725         -0.1469         0.0508         0.0171         -0.0732         -0.0134      
     265.0        -0.0367         -0.2611         -0.0188         0.1482         -0.0570         0.0223      
     264.0        -0.1043         -0.4388         0.0011         0.1234         -0.0178         0.0689      
     263.0        -0.0250         -0.4525         -0.0300         0.0452         0.0678         0.0202      
     262.0        -0.0694         -0.2658         0.0124         0.0556         0.0201         -0.0019      
     261.0        -0.0116         -0.2173         -0.0165         0.1154         -0.0553         -0.0044      
     260.0        -0.0222         -0.1142         -0.0520         0.1489         -0.1819         0.1431      
     259.0        -0.0250         -0.0036         -0.0542         0.0380         -0.2003         0.2451      
     258.0        0.0620         -0.1318         0.0318         -0.1104         -0.1866         0.2746      
     257.0        0.1280         -0.3502         0.0131         -0.1675         -0.1282         0.2415      
     256.0        0.0440         -0.2711         0.0106         -0.2422         -0.0298         0.1919      
     255.0        0.1225         -0.2992         -0.0051         -0.2338         -0.0260         0.1449      
     254.0        0.1869         -0.2044         -0.0532         -0.2744         -0.1022         0.2762      
     253.0        0.1818         -0.1115         -0.0149         -0.3286         -0.1209         0.3202      
     252.0        0.3067         -0.2109         0.0025         -0.2759         -0.1374         0.2446      
     251.0        0.2391         -0.0887         0.0083         -0.2223         -0.1792         0.2040      
     250.0        0.1427         0.0254         0.0167         -0.2722         -0.0944         0.1701      
     249.0        0.2297         0.0885         0.0797         -0.3415         -0.0697         0.1144      
     248.0        0.2808         0.0841         0.1081         -0.4264         -0.0267         0.1305      
     247.0        0.2605         -0.1062         0.0951         -0.4578         0.0493         0.1770      
     246.0        0.2738         -0.2800         0.0384         -0.4670         0.1401         0.1637      
     245.0        0.1252         -0.6117         0.0570         -0.4335         0.2442         0.1601      
