#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/SC_Dssp-1/Baselines/SS_tri1/M1/spectra_side.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Seq_M1.inp
#Number of decomposed  spectra: 78

#Combination matrix for Structural Properties:
#Basis/  ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# GRP1 :    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP2 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    1.0000    0.0000  
# GRP4 :    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000  
# GRP5 :    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000  
# GRP6 :    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           GRP5           GRP6           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        -0.2035         0.0584         -0.2765         -0.0381         0.3237         -0.0347      
     268.0        -0.2286         0.3106         -0.1620         -0.3347         0.3416         0.0447      
     267.0        -0.0035         0.0490         0.0211         -0.1108         0.1129         -0.0755      
     266.0        0.0274         -0.0670         0.1079         0.1115         -0.1022         -0.0257      
     265.0        -0.0498         -0.1890         0.0459         0.2717         -0.1121         0.0044      
     264.0        -0.1315         -0.3758         0.0745         0.2567         -0.0921         0.0519      
     263.0        -0.0827         -0.4412         0.0189         0.1379         0.0741         -0.0399      
     262.0        -0.1565         -0.2643         0.0652         0.1179         0.0403         -0.0700      
     261.0        -0.1072         -0.2436         0.0461         0.1824         -0.0232         -0.0859      
     260.0        -0.0677         -0.1138         -0.0493         0.1927         -0.1311         0.0810      
     259.0        -0.0367         0.0704         -0.0495         0.0469         -0.1495         0.1888      
     258.0        0.0591         -0.0410         0.0243         -0.1176         -0.1165         0.2158      
     257.0        0.0978         -0.2484         0.0282         -0.1779         -0.0281         0.1733      
     256.0        -0.0064         -0.1926         0.0936         -0.2250         0.0513         0.1040      
     255.0        0.0574         -0.3167         0.0890         -0.2021         0.0978         0.0318      
     254.0        0.1556         -0.2575         -0.0089         -0.2790         0.0792         0.1502      
     253.0        0.1321         -0.0964         0.0575         -0.3233         -0.0441         0.2512      
     252.0        0.2332         -0.1799         0.0813         -0.2733         -0.1187         0.2118      
     251.0        0.1516         -0.0199         0.0999         -0.1918         -0.2167         0.2140      
     250.0        0.0412         0.0211         0.1104         -0.2357         -0.0833         0.1390      
     249.0        0.1176         -0.0070         0.1150         -0.3223         0.0353         0.0422      
     248.0        0.1662         -0.0806         0.0555         -0.5025         0.2675         -0.0260      
     247.0        0.1161         -0.2656         0.0158         -0.5937         0.3934         -0.0006      
     246.0        0.0953         -0.4574         -0.0447         -0.6420         0.5486         -0.0638      
     245.0        -0.0435         -0.8644         -0.0955         -0.6302         0.7653         -0.1300      
