#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/BB_corr_scale/CD_corr_MP79.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Seq_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# GRP1 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000  
# GRP2 :    0.0000    1.0000    1.0000    1.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP4 :    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    1.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        -0.1053         0.0262         0.2426         -0.0478      
     268.0        -0.2618         0.0464         0.1706         -0.0069      
     267.0        -0.0548         -0.0569         0.0198         0.0258      
     266.0        -0.0376         -0.0695         -0.0678         0.0441      
     265.0        -0.1373         -0.0142         -0.0435         0.0450      
     264.0        -0.1291         0.0625         0.0004         -0.0149      
     263.0        -0.1195         0.0917         0.0915         -0.0466      
     262.0        -0.0955         0.0031         0.0372         0.0047      
     261.0        0.0383         -0.0347         -0.0647         0.0038      
     260.0        -0.0008         0.0302         -0.1920         -0.0050      
     259.0        -0.2264         0.1846         -0.1873         -0.0459      
     258.0        -0.2166         0.2036         -0.1770         -0.0616      
     257.0        -0.2803         0.2297         -0.1148         -0.0850      
     256.0        -0.2680         0.1161         -0.0140         -0.0361      
     255.0        -0.1165         0.0125         -0.0232         -0.0097      
     254.0        -0.0992         0.0397         -0.1047         -0.0071      
     253.0        -0.1805         0.0979         -0.1169         -0.0131      
     252.0        -0.1567         0.0978         -0.1411         -0.0092      
     251.0        -0.3031         0.0834         -0.1836         0.0285      
     250.0        -0.3526         0.0639         -0.0815         0.0386      
     249.0        -0.4056         0.1121         -0.0387         0.0198      
     248.0        -0.5505         0.1783         0.0169         0.0292      
     247.0        -0.6736         0.2422         0.1019         0.0328      
     246.0        -0.6351         0.1999         0.1881         0.0496      
     245.0        -0.5240         0.1199         0.2849         0.0608      
     244.0        -0.5523         0.1129         0.4208         0.0730      
     243.0        -0.4288         0.0793         0.5200         0.0747      
     242.0        -0.1978         0.0204         0.5047         0.0805      
     241.0        -0.0404         0.0007         0.4349         0.0918      
     240.0        0.2739         -0.0262         0.3553         0.0373      
     239.0        0.5807         -0.1248         0.3732         0.0244      
     238.0        0.7863         -0.1154         0.4078         -0.0123      
     237.0        1.3090         -0.2060         0.5291         -0.0758      
     236.0        1.7594         -0.2889         0.5680         -0.1093      
     235.0        2.0823         -0.3725         0.6666         -0.0888      
     234.0        2.4698         -0.4223         0.6838         -0.1151      
     233.0        2.9444         -0.5424         0.8367         -0.1275      
     232.0        3.4648         -0.6279         0.9476         -0.1680      
     231.0        4.2736         -0.7076         1.1008         -0.2986      
     230.0        4.9694         -0.8269         1.3303         -0.3738      
     229.0        5.6418         -0.9283         1.6059         -0.4326      
     228.0        6.3433         -1.0065         1.9298         -0.5127      
     227.0        6.9642         -1.0669         2.3524         -0.5941      
     226.0        7.3743         -1.1078         2.7313         -0.6292      
     225.0        7.8427         -1.0830         3.2461         -0.7331      
     224.0        7.9185         -1.0667         3.7954         -0.7210      
     223.0        8.1168         -1.0332         4.3350         -0.7622      
     222.0        8.3226         -0.9288         4.8826         -0.8636      
     221.0        8.5728         -0.8383         5.4758         -0.9937      
     220.0        8.6301         -0.7635         6.0582         -1.0780      
     219.0        8.8238         -0.7279         6.6867         -1.1759      
     218.0        8.8493         -0.6409         7.2261         -1.2549      
     217.0        8.9183         -0.6056         7.6776         -1.3209      
     216.0        8.8711         -0.5833         8.0315         -1.3506      
     215.0        8.8257         -0.7104         8.4088         -1.2998      
     214.0        8.8847         -0.8942         8.6120         -1.2681      
     213.0        9.1809         -1.1651         8.8338         -1.2444      
     212.0        9.5473         -1.3454         9.0205         -1.3081      
     211.0        10.0802         -1.5687         9.2403         -1.4146      
     210.0        10.9002         -1.9493         9.4701         -1.5107      
     209.0        12.0119         -2.5668         9.7631         -1.5751      
     208.0        13.2809         -3.2896         10.0271         -1.6602      
     207.0        14.8978         -4.2417         10.2951         -1.7225      
     206.0        16.6188         -5.1231         10.6130         -1.9044      
     205.0        18.5267         -6.0995         10.7482         -2.0860      
     204.0        20.7291         -7.1081         10.6058         -2.2860      
     203.0        23.0035         -7.9486         10.1989         -2.5807      
     202.0        25.4615         -8.6701         9.6223         -3.0288      
     201.0        27.6812         -9.2383         8.8210         -3.5265      
     200.0        29.0987         -9.5208         8.0521         -4.0258      
     199.0        29.7131         -9.6264         7.4578         -4.4627      
     198.0        29.4944         -9.3733         7.0999         -4.8573      
     197.0        28.1452         -8.6920         7.0892         -5.1431      
     196.0        26.1868         -7.5106         7.2088         -5.5195      
     195.0        22.9126         -5.6105         7.3975         -5.9418      
     194.0        18.2670         -3.0504         7.2836         -6.2935      
     193.0        12.8973         -0.4135         7.0609         -6.4162      
     192.0        6.9207         2.2463         6.5241         -6.2769      
     191.0        0.6769         4.8293         5.9730         -5.9536      
     190.0        -5.2639         7.1344         5.4140         -5.4670      
     189.0        -10.7760         9.0722         4.9625         -4.8743      
     188.0        -15.7597         10.8082         4.5770         -4.2377      
     187.0        -19.3243         11.8522         4.3373         -3.5084      
     186.0        -21.8256         12.4468         4.0854         -2.7601      
     185.0        -23.0362         12.8843         4.1894         -2.3362      
     184.0        -23.3797         12.9898         4.6764         -1.9750      
     183.0        -22.5103         12.5735         5.3386         -1.6621      
     182.0        -21.0444         12.1112         5.7258         -1.4532      
     181.0        -18.8651         11.2041         6.0541         -1.1753      
     180.0        -16.3014         10.0423         6.2871         -0.8693      
     179.0        -13.8157         9.0141         6.6441         -0.7086      
     178.0        -11.3028         7.8165         7.2717         -0.4888      
