#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Seq_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/  ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# GRP1 :    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# GRP2 :    0.000    0.000    0.000    0.000    0.000    1.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000  
# GRP3 :    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000  
# GRP4 :    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000  
# GRP5 :    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    1.000    0.000    0.000  
# GRP6 :    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# GRP7 :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    0.000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           GRP5           GRP6           GRP7           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0         0.006          0.127         -0.758          0.674          0.252          0.039         -0.045      
     268.0         0.138          0.440         -0.170          0.552         -0.987         -0.402          0.087      
     267.0        -0.195          0.070          0.152          0.065          0.308          0.631         -0.495      
     266.0        -0.325          0.308          0.012         -0.039          1.079          0.549         -1.263      
     265.0        -0.341          0.422         -0.291          0.134          0.907          0.306         -1.008      
     264.0        -0.119          0.472         -0.744          0.016          0.901         -0.010         -0.394      
     263.0        -0.064          0.537         -1.013          0.078          0.535          0.451          0.017      
     262.0        -0.304          0.224         -1.018          0.600          0.294          0.457          0.268      
     261.0        -0.690         -0.197         -0.588          0.799          0.623          0.971         -0.013      
     260.0        -0.950         -0.288          0.104          1.047          0.469          0.892         -0.594      
     259.0        -0.823         -0.179          0.400          0.552          0.132          0.599         -0.096      
     258.0        -0.583         -0.299          0.396         -0.110          0.987          0.426         -0.108      
     257.0        -0.691         -0.205          0.400         -0.512          1.089          0.473          0.179      
     256.0        -0.741         -0.404         -0.218         -0.203          1.054          0.142          1.037      
     255.0        -1.008         -0.690         -0.005         -0.059          1.256          0.341          0.930      
     254.0        -1.112         -1.001          0.359          0.199          1.010          0.574          0.910      
     253.0        -0.890         -1.115          0.256          0.054          0.973          1.023          1.131      
     252.0        -1.088         -1.214          0.192          0.077          1.590          1.204          0.738      
     251.0        -1.373         -0.641          0.101          0.148          1.063          1.241          0.684      
     250.0        -1.585         -0.276         -0.202          0.118          0.896          0.955          0.965      
     249.0        -1.901          0.150         -0.206         -0.148          0.930          0.973          0.833      
     248.0        -1.941          0.040         -0.197         -0.665          1.094          1.068          1.295      
     247.0        -1.952          0.140         -0.543         -0.619          0.507          1.356          1.787      
     246.0        -2.571         -0.009         -0.716         -0.265          0.520          1.162          2.078      
     245.0        -3.429          0.506         -1.043         -0.191          0.190          1.263          2.331      
     244.0        -4.512          1.359         -1.524          0.012         -0.555          1.202          2.846      
     243.0        -5.983          1.802         -1.905         -0.225         -0.067          1.212          3.508      
     242.0        -7.694          2.377         -2.543         -0.707          0.500          1.795          4.417      
     241.0        -9.623          3.780         -3.537         -0.731         -0.760          2.173          6.036      
     240.0        -12.330          5.034         -4.515         -0.278         -1.444          1.860          7.474      
     239.0        -15.730          7.083         -5.977         -0.002         -2.464          2.116          9.095      
     238.0        -19.477          9.539         -7.923          0.421         -3.920          2.223         11.323      
     237.0        -23.769         11.513         -9.862          0.888         -4.295          2.266         13.312      
     236.0        -28.471         13.730         -12.452          2.053         -5.544          2.559         15.886      
     235.0        -33.362         16.285         -15.259          3.074         -7.648          2.958         19.103      
     234.0        -38.712         19.216         -18.306          4.098         -10.057          3.306         22.557      
     233.0        -44.338         22.513         -22.032          4.553         -11.966          4.261         26.230      
     232.0        -50.434         25.501         -26.021          4.944         -13.447          5.647         30.367      
     231.0        -56.901         28.375         -30.431          5.728         -14.341          6.840         34.355      
     230.0        -63.021         30.551         -35.090          6.417         -15.625          8.332         39.634      
     229.0        -69.028         31.787         -39.297          7.372         -16.131          9.778         44.457      
     228.0        -74.483         32.761         -42.946          8.003         -16.592         10.933         48.821      
     227.0        -79.393         33.517         -45.872          8.343         -16.601         11.990         51.942      
     226.0        -83.801         33.656         -48.005          8.990         -16.998         12.885         54.521      
     225.0        -87.371         33.695         -49.461          9.145         -16.908         13.326         55.981      
     224.0        -89.565         33.187         -50.307          9.282         -17.964         14.108         57.415      
     223.0        -91.093         31.943         -50.255          9.449         -18.030         14.311         57.482      
     222.0        -92.006         30.352         -49.188          9.861         -17.931         14.139         56.027      
     221.0        -92.093         28.488         -47.690         10.109         -17.683         13.887         54.016      
     220.0        -91.974         26.553         -45.509         10.453         -18.001         12.848         52.044      
     219.0        -91.071         24.523         -42.882          9.694         -17.286         11.438         49.550      
     218.0        -89.785         22.711         -40.356          8.899         -17.470          9.898         48.037      
     217.0        -88.727         20.706         -37.967          7.763         -16.175          7.633         46.707      
     216.0        -88.342         18.894         -35.725          7.572         -14.749          4.781         45.322      
     215.0        -87.974         17.238         -33.845          7.205         -13.412          1.014         45.009      
     214.0        -88.791         16.314         -31.985          7.293         -12.646         -3.736         45.499      
     213.0        -89.931         15.571         -30.400          6.975         -11.429         -8.860         46.392      
     212.0        -91.602         15.524         -29.630          6.444         -10.337         -14.495         48.543      
     211.0        -94.195         15.622         -29.625          6.190         -9.106         -21.408         52.126      
     210.0        -96.781         15.259         -29.521          5.682         -7.580         -28.782         56.488      
     209.0        -98.111         14.989         -28.910          3.670         -5.903         -38.187         61.427      
     208.0        -97.093         14.374         -27.607          1.289         -4.152         -48.604         65.458      
     207.0        -91.940         11.864         -24.815         -1.882         -1.588         -60.452         68.012      
     206.0        -82.178          8.285         -20.840         -5.296          1.094         -73.512         68.071      
     205.0        -68.110          3.474         -15.673         -8.981          3.681         -86.305         66.025      
     204.0        -50.143         -3.528         -8.324         -13.429          6.788         -96.864         61.707      
     203.0        -29.547         -11.190          0.716         -18.326         10.818         -105.222         54.057      
     202.0        -7.104         -20.158         11.070         -21.594         15.203         -110.196         42.883      
     201.0        17.713         -30.505         22.816         -24.015         20.809         -112.073         27.973      
     200.0        45.280         -40.470         35.144         -25.753         26.402         -110.764          8.380      
     199.0        74.731         -50.039         47.632         -27.359         32.903         -106.820         -14.672      
     198.0        104.597         -57.974         60.135         -29.248         37.878         -100.841         -39.369      
     197.0        132.415         -63.775         70.710         -30.079         41.399         -93.368         -64.552      
     196.0        155.217         -68.550         78.492         -27.872         43.027         -85.576         -86.880      
     195.0        171.219         -70.929         83.443         -23.253         42.596         -77.448         -105.791      
     194.0        180.960         -71.363         85.531         -16.485         39.558         -69.445         -120.039      
     193.0        185.163         -70.809         85.964         -9.223         35.675         -60.505         -130.372      
     192.0        184.747         -68.118         84.995         -2.047         29.603         -51.102         -137.416      
     191.0        180.216         -64.755         82.389          5.111         22.363         -41.443         -140.526      
     190.0        172.549         -62.359         78.286         12.560         15.336         -31.055         -140.272      
     189.0        161.007         -58.651         73.055         18.943          8.774         -19.710         -138.113      
     188.0        148.395         -55.684         67.582         22.870          2.974         -8.146         -132.733      
     187.0        135.939         -53.531         62.390         24.682         -2.472          3.778         -125.935      
     186.0        124.163         -51.592         56.984         24.223         -6.735         14.648         -117.906      
     185.0        112.969         -49.824         51.696         22.490         -10.116         23.189         -108.946      
     184.0        103.502         -48.220         46.706         19.349         -13.047         30.450         -100.752      
     183.0        94.861         -45.481         41.938         14.166         -14.993         36.517         -93.521      
     182.0        88.614         -43.459         38.013          7.895         -17.612         42.143         -86.184      
     181.0        83.378         -41.902         34.965          1.878         -19.830         45.610         -79.859      
     180.0        79.370         -40.178         31.842         -4.698         -21.184         48.304         -73.843      
     179.0        75.715         -38.731         28.836         -10.603         -21.234         50.808         -69.041      
     178.0        72.556         -36.500         25.451         -15.679         -21.783         51.337         -64.980      
     177.0        69.185         -33.789         22.561         -21.341         -21.685         52.923         -61.229      
     176.0        65.761         -30.806         18.590         -24.228         -23.094         54.169         -57.510      
     175.0        61.999         -26.745         14.762         -30.535         -19.990         51.846         -53.280      
