#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_simple_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/  3HT       HEL       BS        IRB       BT        OTT       LHT       UC        
# 3HT :    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# HEL :    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BS :    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000  
# IRB :    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000  
# BT :    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000  
# OTT :    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000  
# LHT :    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000  
# UC :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      3HT            HEL            BS             IRB            BT             OTT            LHT            UC             
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0         0.138          0.159          0.394         -0.852          2.481         -0.261          0.428         -0.567      
     268.0        -0.723          0.451          0.412          0.316          1.596         -0.201         -3.851         -0.535      
     267.0         0.244          0.054          0.283         -0.583          0.689         -0.578         -2.573         -0.096      
     266.0         0.176         -0.149          0.096         -1.471          1.767         -0.025         -3.216          0.352      
     265.0         0.091         -0.158          0.080         -1.264          1.842          0.115         -2.864          0.287      
     264.0        -0.213         -0.054          0.020         -0.360          1.219          0.565         -2.127          0.076      
     263.0        -0.099          0.005          0.122          0.214         -0.668          0.597         -0.950         -0.210      
     262.0         0.546         -0.158          0.135          0.286         -2.178         -0.187          0.399         -0.104      
     261.0         1.242         -0.368          0.050          0.141         -2.776         -0.844          3.647          0.028      
     260.0         0.989         -0.343         -0.101          0.180         -1.435         -0.267          4.152          0.090      
     259.0        -0.011         -0.061         -0.189          1.251         -1.813          1.005          3.594         -0.140      
     258.0        -0.483          0.047         -0.321          1.320         -2.401          1.924          3.779         -0.088      
     257.0        -0.424          0.019         -0.277          1.065         -3.116          1.865          4.058         -0.089      
     256.0         0.096         -0.042         -0.082          1.315         -3.031          0.783          3.436         -0.331      
