#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Dssp_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/  		3-Helix   4-Helix   5-Helix   Bend      Beta-Bridge Beta-strand Turn      Unclassified 
# 3-Helix :    		1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# 4-Helix :    		0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000  
# 5-Helix :    		0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000  
# Bend    :    		0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000  
# Beta-Bridge :   	0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000  
# Beta-strand :   	0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000  
# Turn :    		0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000  
# Unclassified :    	0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      3-Helix        4-Helix        5-Helix        Bend           Beta-Bridge    Beta-strand    Turn           Unclassified   
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0         1.024          0.244         -8.025         -0.504          1.098          0.331         -0.874         -0.122      
     268.0         0.857          0.435         -37.202         -1.165          0.514          0.207         -2.589          1.184      
     267.0         0.467          0.080         -39.094         -0.166         -1.470          0.106         -0.518          0.259      
     266.0        -0.195         -0.121         -8.725          0.464         -1.522         -0.002          0.447         -0.140      
     265.0        -0.301         -0.122         23.634          0.365         -0.203          0.004          0.288         -0.137      
     264.0        -0.199         -0.026         17.285         -0.066          0.793          0.005         -0.322          0.201      
     263.0         0.150          0.015         31.357         -0.837         -0.147          0.120         -0.626          0.523      
     262.0         0.398         -0.098         16.822         -0.725         -1.225          0.126         -0.305          0.422      
     261.0         0.682         -0.270         27.667         -0.475         -2.676          0.134          0.583          0.043      
     260.0         1.033         -0.265         43.032         -0.103         -2.155          0.022          0.249          0.148      
     259.0         0.953         -0.059         29.733         -0.258          0.397         -0.043         -0.913          0.588      
     258.0         1.064          0.053         24.613          0.030          1.598         -0.083         -1.366          0.521      
     257.0         1.123          0.049         22.364         -0.158          1.643         -0.028         -1.490          0.515      
     256.0         1.237          0.048         14.647         -0.684          2.008          0.100         -1.442          0.460      
     255.0         1.366         -0.100         21.724         -0.583          0.103          0.208         -0.185         -0.158      
     254.0         1.768         -0.141         27.554         -0.249         -0.968          0.153         -0.077         -0.218      
     253.0         1.585         -0.198         26.036         -0.462         -2.216          0.049          0.242          0.041      
     252.0         1.495         -0.348         49.322         -0.165         -3.262         -0.036          0.640         -0.049      
     251.0         1.616         -0.465         55.522         -0.300         -3.755         -0.154          0.339          0.380      
     250.0         1.965         -0.387         38.502         -1.246         -2.853         -0.046         -0.662          0.905      
     249.0         2.213         -0.398         21.428         -1.592         -3.292          0.065         -0.879          0.933      
     248.0         2.521         -0.371         46.081         -1.558         -2.514          0.205         -1.357          0.695      
     247.0         2.425         -0.459         45.032         -1.702         -2.984          0.296         -1.269          0.563      
     246.0         2.395         -0.662         45.587         -1.595         -3.730          0.465         -0.828          0.088      
     245.0         2.641         -0.915         25.109         -1.843         -4.373          0.653         -0.902         -0.103      
     244.0         3.131         -1.126          0.928         -2.727         -4.328          0.860         -1.575          0.121      
     243.0         3.598         -1.454         -29.066         -3.197         -4.941          1.024         -1.849          0.090      
     242.0         3.653         -1.994         -36.736         -3.568         -5.428          1.178         -1.909          0.001      
     241.0         3.960         -2.578         -83.521         -4.432         -5.600          1.293         -3.042          0.665      
     240.0         3.832         -3.381         -105.073         -4.685         -6.262          1.521         -3.423          0.728      
     239.0         3.740         -4.470         -130.853         -5.298         -6.957          1.844         -3.584          0.666      
     238.0         3.742         -5.683         -134.954         -6.195         -7.298          2.114         -4.139          0.949      
     237.0         3.538         -7.097         -120.367         -6.875         -8.740          2.462         -4.294          0.911      
     236.0         3.635         -8.624         -122.207         -7.429         -10.813          2.846         -5.009          0.955      
     235.0         4.121         -10.225         -149.940         -8.248         -13.705          3.176         -6.790          1.565      
     234.0         4.155         -12.123         -158.230         -8.341         -17.654          3.440         -7.941          1.824      
     233.0         4.245         -14.194         -170.963         -8.549         -20.665          3.712         -8.918          1.735      
     232.0         3.904         -16.616         -141.518         -8.648         -23.990          3.681         -9.160          1.718      
     231.0         3.152         -19.194         -106.297         -8.971         -26.086          3.436         -9.305          1.977      
     230.0         2.742         -21.845         -82.597         -9.161         -27.406          3.082         -8.798          1.789      
     229.0         2.491         -24.409         -90.200         -9.164         -28.999          2.468         -8.328          1.799      
     228.0         2.389         -26.847         -101.174         -9.189         -31.137          1.706         -7.448          1.765      
     227.0         1.882         -28.919         -136.552         -9.500         -31.687          0.854         -6.970          1.901      
     226.0         1.210         -30.846         -171.215         -9.795         -33.194         -0.183         -5.887          2.058      
     225.0         0.551         -32.357         -216.765         -10.744         -32.146         -1.287         -5.271          2.495      
     224.0         0.175         -33.483         -242.930         -12.642         -30.426         -2.377         -4.653          3.187      
     223.0         0.069         -34.270         -282.692         -14.144         -28.436         -3.620         -4.000          3.780      
     222.0         0.278         -34.746         -285.230         -15.281         -26.623         -4.818         -3.180          4.064      
     221.0         0.499         -34.848         -284.943         -16.766         -24.624         -5.878         -2.662          4.443      
