#Theoretical CD spectra for Secondary strcuture prediction (Perczel et.al. Protein Engineering, 1991, 4, 669-679)

#Mapping to DISICL classes:
# ALPHA_HELIX :  ALH   PIH   HEL 
# BETA_SHEET  :  EBS   NBS   BC  BS
# Turn_I      :  TI    3H    HC  TC   3HT
# Turn_II     :  TII  TVIII  SCH LHH  LTII   GXT   BT   OTT   LHT
# APERIODIKUS :  PP    HP    BU  UC   IRB


#|	Wavelength	ALPHA_HELIX	BETA_SHEET	Turn_I		Turn_II		APERIODIKUS
#	nm		T (10^-3)	T (10^-3)	T (10^-3)	T (10^-3)	T (10^-3)
	185		27.4876		10.3029		5.9802		0.0224		-14.0746
	186		34.4531		12.5472		6.8906		0.0384		-17.152
	187		41.9627		15.0008		7.5691		0.0636		-20.5012
	188		49.6576		17.6044		7.9471		0.1021		-24.0336
	189		57.084		20.2773		7.9767		0.1589		-27.6319
	190		63.7284		22.92		7.6363		0.2397		-31.1555
	191		69.0681		25.4182		6.9346		0.3503		-34.4475
	192		72.6292		27.6493		5.9087		0.4961		-37.3455
	193		74.0439		29.4906		4.6207		0.6808		-39.694
	194		73.0979		30.8279		3.1492		0.9055		-41.357
	195		69.7587		31.5647		1.5811		1.1669		-42.2301
	196		64.1817		31.6301		0.0019		1.4574		-42.2501
	197		56.6908		30.9849		-1.5121		1.7638		-41.4013
	198		47.7407		29.6255		-2.8996		2.0686		-39.7171
	199		37.8647		27.5842		-4.1178		2.3509		-37.2774
	200		27.6188		24.9274		-5.1424		2.5891		-34.2014
	201		17.5297		21.7501		-5.966		2.7632		-30.6376
	202		8.0519		18.1687		-6.5952		2.8577		-26.7513
	203		-0.4599		14.3131		-7.0459		2.864		-22.7113
	204		-7.7656		10.3171		-7.3401		2.7814		-18.6783
	205		-13.7411	6.3107		-7.5018		2.6174		-14.7943
	206		-18.3693	2.4128		-7.5549		2.3867		-11.1756
	207		-21.7246	-1.2743		-7.5208		2.1085		-7.9085
	208		-23.9534	-4.668		-7.4184		1.804		-5.0483
	209		-25.2523	-7.7065		-7.263		1.4938		-2.6212
	210		-25.8454	-10.3493	-7.0667		1.195		-0.6275
	211		-25.9634	-12.5746	-6.8394		0.9202		0.953
	212		-25.8238	-14.3774	-6.5883		0.6761		2.1569
	213		-25.6144	-15.7663	-6.3193		0.4644		3.0321
	214		-25.4806	-16.7604	-6.0371		0.2821		3.6346
	215		-25.5181	-17.3864	-5.7456		0.124		4.0235
	216		-25.7699	-17.6766	-5.4478		-0.0164		4.2568
	217		-26.2294	-17.6664	-5.1467		-0.1448		4.3825
	218		-26.8478	-17.3929	-4.8447		-0.2646		4.431
	219		-27.5448	-16.8939	-4.5442		-0.3762		4.4097
	220		-28.2212	-16.2071	-4.2471		-0.477		4.306
	221		-28.7723	-15.3689	-3.9553		-0.5621		4.1012
	222		-29.1002	-14.4145	-3.6704		-0.6255		3.7872
	223		-29.1241	-13.3772	-3.394		-0.662		3.3796
	224		-28.7876	-12.2876	-3.1273		-0.6683		2.9165
	225		-28.0631	-11.174		-2.8713		-0.6446		2.4463
	226		-26.952		-10.0614	-2.6269		-0.5945		2.0111
	227		-25.4834	-8.9715		-2.3947		-0.5245		1.6357
	228		-23.7092	-7.9225		-2.1753		-0.4426		1.3265
	229		-21.6979	-6.9291		-1.9691		-0.3574		1.0772
	230		-19.5281	-6.0024		-1.776		-0.2761		0.876
	231		-17.2814	-5.1501		-1.5962		-0.2041		0.7119
	232		-15.0359	-4.3768		-1.4295		-0.1444		0.5765
	233		-12.8612	-3.6843		-1.2757		-0.0977		0.464
	234		-10.8148	-3.0719		-1.1343		-0.0633		0.3706
	235		-8.9399		-2.5371		-1.0051		-0.0392		0.2935
	236		-7.2645		-2.0755		-0.8874		-0.0233		0.2303
	237		-5.8029		-1.6818		-0.7807		-0.0132		0.1791
	238		-4.5566		-1.3498		-0.6844		-0.0072		0.1379
	239		-3.5171		-1.0731		-0.5979		-0.0037		0.1053
	240		-2.6687		-0.8451		-0.5204		-0.0018		0.0796
	241		-1.9905		-0.6592		-0.4514		-0.0009		0.0596
	242		-1.4594		-0.5093		-0.3901		-0.0004  	0.0443
	243		-1.0518		-0.3898		-0.336		-0.0002  	0.0325
	244		-0.7452		-0.2955		-0.2883		-0.0001  	0.0237
	245		-0.5189		-0.2219		-0.2466		0.0000		0.0171
	246		-0.3553		-0.165		-0.2101		0.0000		0.0122
	247		-0.2391		-0.1216		-0.1784		0.0000		0.0087
	248		-0.1581		-0.0887		-0.1509		0.0000		0.0061
	249		-0.1028		-0.0641		-0.1272		0.0000		0.0042
	250		-0.0657		-0.0459		-0.1069		0.0000		0.0029
	251		-0.0413		-0.0326		-0.0895		0.0000		0.002
	252		-0.0255		-0.0229		-0.0746		0.0000		0.0013
	253		-0.0155		-0.0159		-0.062		0.0000		0.0009
	254		-0.0092		-0.011		-0.0514		0.0000		0.0006
	255		-0.0054		-0.0075		-0.0424		0.0000		0.0004
	256		-0.0031		-0.0051		-0.0349		0.0000		0.0003
	257		-0.0018		-0.0034		-0.0286		0.0000		0.0002
	258		-0.001		-0.0023		-0.0233		0.0000		0.0001
	259		-0.0005		-0.0015		-0.019		0.0000		0.0001
	260		-0.0003		-0.001		-0.0154		0.0000		0.0000

