ProDataCSV,,,
,,,
Title: ,,,
,,,
Remarks:,,,
#User: spc_user,,,
#Date: 2019/11/12,,,
#Instrument: ,,,
#DetectorType: ,,,
#HV (CDDC channel): 268.585 v,,,
#Time per point: 0.5 s,,,
#Description: Sample 1,,,
#Concentration: 0 M,,,
#Pathlength: 10 mm,,,
#Temperature: ---- C,,,
Time Stamp : 2019/11/12 11:03:42,,,
The data was saved to file : C:\Users\Osvaldo\Buffer_Delta_Tpr_12.11.2019.csv.,,,
,,,
,,,
,,,
Last Modified: Tue Nov 12 11:04:01 2019 by unknown.,,,
,,,
Options:,,,
,,,
Available Dimensions:,1,,
Wavelength,Wavelength: 180nm - 290nm,Step Size: 1nm,Bandwidth: 1nm
,,,
Available Properties: ,1,,
CircularDichroism,,,
,,,
Data:,,,
,,,
Wavelength,,,
CircularDichroism,,,
260,0,,
259,0,,
259,0,,
259,0,,
259,0,,
259,0,,
259,0,,
259,0,,
259,0,,
259,0,,
259,0,,
258,0,,
258,0,,
258,0,,
258,0,,
258,0,,
258,0,,
258,0,,
258,0,,
258,0,,
258,0,,
257,0,,
257,0,,
257,0,,
257,0,,
257,0,,
257,0,,
257,0,,
257,0,,
257,0,,
257,0,,
256,0,,
256,0,,
256,0,,
256,0,,
256,0,,
256,0,,
256,0,,
256,0,,
256,0,,
256,0,,
255,0,,
255,0,,
255,0,,
255,0,,
255,0,,
255,0,,
255,0,,
255,0,,
255,0,,
255,0,,
254,0,,
254,0,,
254,0,,
254,0,,
254,0,,
254,0,,
254,0,,
254,0,,
254,0,,
254,0,,
253,0,,
253,0,,
253,0,,
253,0,,
253,0,,
253,0,,
253,0,,
253,0,,
253,0,,
253,0,,
252,0,,
252,0,,
252,0,,
252,0,,
252,0,,
252,0,,
252,0,,
252,0,,
252,0,,
252,0,,
251,0,,
251,0,,
251,0,,
251,0,,
251,0,,
251,0,,
251,0,,
251,0,,
251,0,,
251,0,,
250,0,,
250,0,,
250,0,,
250,0,,
250,0,,
250,0,,
250,0,,
250,0,,
250,0,,
250,0,,
249,0,,
249,0,,
249,0,,
249,0,,
249,0,,
249,0,,
249,0,,
249,0,,
249,0,,
249,0,,
248,0,,
248,0,,
248,0,,
248,0,,
248,0,,
248,0,,
248,0,,
248,0,,
248,0,,
248,0,,
247,0,,
247,0,,
247,0,,
247,0,,
247,0,,
247,0,,
247,0,,
247,0,,
247,0,,
