"wl","signal"
240,-0.89
239,-1.15
238,-1.48
237,-1.73
236,-2.1
235,-2.5
234,-2.93
233,-3.51
232,-4.15
231,-4.83
230,-5.46
229,-6.03
228,-6.51
227,-6.97
226,-7.35
225,-7.67
224,-7.89
223,-8.04
222,-8.07
221,-8.08
220,-7.98
219,-7.82
218,-7.69
217,-7.54
216,-7.42
215,-7.3
214,-7.24
213,-7.23
212,-7.31
211,-7.41
210,-7.5
209,-7.51
208,-7.34
207,-6.86
206,-6.07
205,-4.91
204,-3.44
203,-1.77
202,0.18
201,2.29
200,4.65
199,7.2
198,9.72
197,12.08
196,14.01
195,15.38
194,16.28
193,16.69
192,16.75
191,16.43
190,15.71
189,14.68
188,13.44
187,12.16
186,10.89
185,9.6
184,8.42
183,7.36
182,6.47
181,5.77
180,5.15
179,4.6
178,4.08
177,3.59
176,3.09
175,2.51
