"wl","signal"
240,-0.35
239,-0.35
238,-0.34
237,-0.37
236,-0.43
235,-0.56
234,-0.7
233,-0.84
232,-0.9
231,-0.97
230,-1.01
229,-1.07
228,-1.15
227,-1.23
226,-1.26
225,-1.32
224,-1.37
223,-1.39
222,-1.41
221,-1.48
220,-1.51
219,-1.53
218,-1.56
217,-1.53
216,-1.46
215,-1.34
214,-1.17
213,-0.96
212,-0.79
211,-0.57
210,-0.21
209,0.15
208,0.53
207,0.98
206,1.41
205,1.93
204,2.6
203,3.25
202,3.83
201,4.3
200,4.57
199,4.72
198,4.65
197,4.45
196,4.13
195,3.73
194,3.33
193,2.99
192,2.64
191,2.37
190,2.14
189,1.89
188,1.65
187,1.36
186,0.96
185,0.52
184,0.08
183,-0.48
182,-1.04
181,-1.6
180,-2.11
179,-2.55
178,-2.89
177,-3.19
176,-3.39
175,-3.41
