ProDataCSV

Title: 

Remarks:
#User: spc_user
#Date: 2019/11/12
#Instrument: 
#DetectorType: 
#HV (CDDC channel): 999.985 v
#Time per point: 0.5 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm
#Temperature: ---- C
Time Stamp : 2019/11/12 11:33:40
The data was saved to file : C:\Users\Osvaldo\Pkng_WT_0.7mgperml_12.11.2019.csv.


Last Modified: Tue Nov 12 11:34:21 2019 by unknown.

Options:

Available Dimensions:,2
Wavelength,Wavelength: 180nm - 290nm,Step Size: 1nm,Bandwidth: 1nm
Repeat,2 repeats in set., -iter option selected

Available Properties: ,1
CircularDichroism,

Data:


CircularDichroism
Wavelength,Repeat
,0,1,
290,-0.313281,-0.284654
289,-0.353384,-0.46977
288,-0.488774,-0.488609
287,-0.277936,-0.486426
286,-0.4869,-0.473476
285,-0.396658,-0.298715
284,-0.37826,-0.0937168
283,-0.33765,-0.352704
282,-0.217011,-0.362665
281,-0.473336,-0.382738
280,-0.474476,-0.552796
279,-0.481246,-0.375042
278,-0.604919,-0.541031
277,-0.20745,-0.562319
276,-0.45911,-0.421989
275,-0.395886,-0.591201
274,-0.430331,-0.665775
273,-0.635368,-0.593739
272,-0.653664,-0.380961
271,-0.43004,-0.735079
270,-0.514417,-0.665397
269,-0.750458,-0.646145
268,-0.792256,-0.575609
267,-0.782818,-0.524094
266,-0.677324,-0.593058
265,-0.710684,-0.661883
264,-0.769835,-0.661585
263,-0.693437,-0.68272
262,-0.76314,-0.65853
261,-0.612198,-0.647883
260,-0.697809,-0.718461
259,-0.569494,-0.759148
258,-0.671189,-0.425741
257,-0.524801,-0.742993
256,-0.812872,-0.675146
255,-0.815353,-0.759567
254,-0.731092,-0.740291
253,-0.845101,-0.827934
252,-0.983435,-0.926551
251,-0.962788,-1.04654
250,-1.12149,-1.33756
249,-1.29447,-1.44183
248,-1.33597,-1.70965
247,-2.11835,-1.9981
246,-2.50849,-2.5894
245,-3.17231,-3.1286
244,-3.638,-3.86579
243,-4.76552,-4.84734
242,-6.15768,-5.94738
241,-7.20769,-7.30184
240,-8.95467,-8.97111
239,-10.675,-10.6748
238,-12.8492,-12.7724
237,-15.1563,-15.1938
236,-17.8389,-17.6748
235,-20.5792,-20.4006
234,-23.6108,-23.6131
233,-26.7974,-26.7948
232,-30.1882,-30.3128
231,-33.7896,-33.8794
230,-37.5151,-37.3758
229,-41.0767,-40.6595
228,-44.287,-44.41
227,-47.0323,-47.667
226,-49.943,-50.4871
225,-52.6842,-52.3966
224,-54.1111,-54.6202
223,-55.6057,-55.2357
222,-56.3363,-56.232
221,-57.0878,-57.1867
220,-57.2325,-57.0649
219,-57.3281,-56.8354
218,-56.5474,-56.4173
217,-56.171,-55.7282
216,-56.4264,-55.2665
215,-55.2476,-55.1371
214,-55.8017,-56.0301
213,-55.9071,-55.9363
212,-58.6855,-58.0691
211,-60.9686,-59.5499
210,-64.3447,-62.2631
209,-64.9638,-66.318
208,-67.5295,-65.9594
207,-63.6056,-64.2175
206,-58.8858,-58.4296
205,-56.7378,-53.2187
204,-42.1993,-42.127
203,-27.3714,-32.2123
202,-16.3876,-6.29612
201,-11.5969,-16.3122
200,1.22356,-14.1781
199,14.1237,-17.6366
198,-16.8166,-13.6564
197,-5.17416,3.40873
196,18.6344,-0.621771
195,-19.5855,8.88473
194,8.21565,9.76052
193,-4.2424,-14.0649
192,21.6015,-25.3085
191,4.93611,-41.2568
190,12.1903,-18.2569
189,5.86685,-26.7743
188,-6.69387,35.8261
187,4.9955,23.6324
186,8.06552,-11.1028
185,-4.93528,-34.8206
184,-33.5504,4.03909
183,-29.9935,-4.79477
182,-6.67701,1.77059
181,-13.7182,17.2433
180,-57.9228,-3.20255


History: 
User : spc_user
Version : Chirascan v.4.7.0.194 Build : Jan 23 2019 14:29:50
DataStore created and initialized for data acquisition.
Time Stamp : Tue Nov 12 11:29:48 2019

----------------------------------------------------

User : spc_user
Version : Chirascan v.4.7.0.194 Build : Jan 23 2019 14:29:50
The data was saved to file : C:\Users\Osvaldo\Pkng_WT_0.7mgperml_12.11.2019.dsx.
Time Stamp : Tue Nov 12 11:33:38 2019

----------------------------------------------------

User : spc_user
Version : Chirascan v.4.7.0.194 Build : Jan 23 2019 14:29:50
DataStore created and initialized for data acquisition.
Time Stamp : Tue Nov 12 11:33:40 2019

----------------------------------------------------


