ProDataCSV

Title: 

Remarks:
#User: spc_user
#Date: 2019/11/12
#Instrument: 
#DetectorType: 
#HV (CDDC channel): 999.985 v
#Time per point: 0.5 s
#Description: Sample 1
#Concentration: 0 M
#Pathlength: 10 mm
#Temperature: ---- C
Time Stamp : 2019/11/12 11:12:39
The data was saved to file : C:\Users\Osvaldo\Trp_1.2mgperml_12.11.2019.csv.


Last Modified: Tue Nov 12 11:13:42 2019 by unknown.

Options:

Available Dimensions:,2
Wavelength,Wavelength: 180nm - 290nm,Step Size: 1nm,Bandwidth: 1nm
Repeat,2 repeats in set., -iter option selected

Available Properties: ,1
CircularDichroism,

Data:


CircularDichroism
Wavelength,Repeat
,0,1,
290,-0.12373,-0.156881
289,-0.307868,-0.202158
288,-0.136963,-0.136353
287,-0.0950539,-0.092152
286,-0.162463,-0.217218
285,0.165649,-0.144812
284,-0.297602,-0.114619
283,-0.209512,-0.00825807
282,-0.264919,-0.197916
281,-0.239611,0.00514641
280,-0.240251,-0.237421
279,-0.302826,-0.398235
278,-0.420122,-0.252555
277,-0.357926,-0.330965
276,-0.223217,-0.527651
275,-0.336306,-0.485795
274,-0.38707,-0.300121
273,-0.565448,-0.532893
272,-0.670254,-0.548357
271,-0.546285,-0.523957
270,-0.57467,-0.572015
269,-0.718825,-0.541054
268,-0.505245,-0.675615
267,-0.515093,-0.650108
266,-0.519931,-0.638993
265,-0.518451,-0.507559
264,-0.492963,-0.559431
263,-0.490223,-0.421189
262,-0.473017,-0.537831
261,-0.537902,-0.406267
260,-0.492994,-0.522855
259,-0.490135,-0.428637
258,-0.363487,-0.360922
257,-0.446998,-0.532451
256,-0.496973,-0.564866
255,-0.418403,-0.320972
254,-0.588208,-0.539718
253,-0.482872,-0.513016
252,-0.497909,-0.490133
251,-0.680557,-0.744346
250,-0.866474,-0.916045
249,-1.20847,-1.05595
248,-1.37582,-1.48705
247,-2.07417,-1.97805
246,-2.86481,-2.69292
245,-3.55322,-3.50945
244,-4.42302,-4.43278
243,-5.65914,-5.42992
242,-7.08267,-6.98223
241,-8.61192,-8.61754
240,-10.8224,-10.6053
239,-12.7796,-12.5809
238,-15.363,-15.1257
237,-17.8742,-17.9618
236,-20.7327,-21.195
235,-24.4004,-24.7308
234,-28.2299,-28.14
233,-32.6437,-32.8537
232,-37.9797,-37.9433
231,-43.2462,-42.7476
230,-48.3896,-48.4018
229,-53.7491,-54.1781
228,-58.4005,-58.901
227,-63.7304,-64.6593
226,-68.2475,-68.0492
225,-72.0311,-71.4712
224,-75.0858,-76.1943
223,-78.8467,-78.2335
222,-81.0784,-81.112
221,-81.0963,-82.0389
220,-84.8315,-83.0949
219,-83.5459,-84.1375
218,-82.7749,-84.5698
217,-82.2002,-83.9222
216,-86.5584,-84.5898
215,-86.3835,-83.6233
214,-84.2719,-82.6346
213,-86.4943,-84.2449
212,-84.7115,-86.5492
211,-93.6066,-88.2202
210,-82.6958,-95.1155
209,-87.9745,-100.92
208,-77.8348,-86.8988
207,-80.0584,-60.9432
206,-52.5884,-25.845
205,5.20313,-20.887
204,-1.63804,-20.5475
203,-33.2662,-33.0281
202,0.162172,-0.523559
201,-24.4245,16.7068
200,-16.3064,3.36106
199,39.9055,-27.5537
198,-6.91361,-12.2134
197,-31.2954,-11.7231
196,-13.6173,15.5425
195,-6.68535,-13.1942
194,-24.0698,-2.27519
193,13.2091,10.104
192,-14.2267,5.10488
191,17.1597,7.11213
190,2.72314,-33.7956
189,0.335863,-9.80073
188,5.32986,-18.5095
187,16.4942,43.5987
186,-30.9111,-3.87211
185,3.73033,-27.6244
184,-6.95813,-22.0351
183,-19.3596,1.23967
182,9.73897,-6.05748
181,13.8436,20.1781
180,12.8919,27.1786


History: 
User : spc_user
Version : Chirascan v.4.7.0.194 Build : Jan 23 2019 14:29:50
DataStore created and initialized for data acquisition.
Time Stamp : Tue Nov 12 11:08:20 2019

----------------------------------------------------

User : spc_user
Version : Chirascan v.4.7.0.194 Build : Jan 23 2019 14:29:50
The data was saved to file : C:\Users\Osvaldo\Trp_1.2mgperml_12.11.2019.dsx.
Time Stamp : Tue Nov 12 11:12:38 2019

----------------------------------------------------

User : spc_user
Version : Chirascan v.4.7.0.194 Build : Jan 23 2019 14:29:50
DataStore created and initialized for data acquisition.
Time Stamp : Tue Nov 12 11:12:39 2019

----------------------------------------------------


