$SUMMARY
Experiment Type : Wavelength
Experiment Name : Test Single Blank
Experiment Description : 20 mM TRIS 100 mM NaF 8% Glycerol
Software Version : v3.44
Experiment start time : 02/08/2017  07:59:24
Bandwidth        :  1.00 nm
Temp. Setpoint   : 20.00 deg C
Wavelength Start : 280.00 nm
Wavelength End   : 190.00 nm
Wavelength Step  :  1.00 nm
Averaging Time   : 1.000 seconds
Settling Time    : 0.333 seconds
Multi-Scan Wait  :  1.00 seconds

$DATA
$MDCNAME:Scan_#1
$MDCDATA:1:14:2:3:4:9
 X  CD_Signal  CD_Error  CD_Current_(Abs)  CD_Delta_Absorbance  CD_Dynode  Jacket_Temp.
280.000  0.000  0.047  1.013  0.000  242.6  19.99
279.000  -0.006  0.083  1.013  -0.000  242.9  19.98
278.000  0.044  0.148  1.013  0.000  243.2  19.99
277.000  0.031  0.119  1.013  0.000  243.5  19.99
276.000  -0.158  0.031  1.013  -0.002  244.0  19.98
275.000  -0.151  0.144  1.013  -0.002  244.2  19.99
274.000  0.007  0.063  1.013  0.000  244.5  19.98
273.000  0.072  0.209  1.013  0.001  245.0  19.98
272.000  -0.166  0.153  1.013  -0.002  245.0  19.98
271.000  0.055  0.132  1.013  0.001  245.4  19.98
270.000  -0.035  0.146  1.013  -0.000  245.9  19.98
269.000  0.002  0.138  1.013  0.000  246.4  19.98
268.000  0.012  0.198  1.013  0.000  246.7  19.99
267.000  0.199  0.079  1.013  0.002  247.3  19.98
266.000  -0.217  0.203  1.013  -0.002  247.9  19.99
265.000  0.190  0.209  1.013  0.002  248.2  19.99
264.000  0.198  0.105  1.013  0.002  248.9  19.99
263.000  -0.047  0.247  1.013  -0.000  249.5  19.99
262.000  0.208  0.100  1.013  0.002  250.0  19.99
261.000  -0.003  0.246  1.013  -0.000  250.7  19.99
260.000  0.100  0.105  1.013  0.001  251.3  19.99
259.000  0.288  0.232  1.013  0.003  252.0  19.99
258.000  0.081  0.105  1.013  0.001  252.7  19.99
257.000  0.267  0.219  1.013  0.003  253.6  19.98
256.000  0.190  0.098  1.013  0.002  254.4  19.98
255.000  0.034  0.084  1.013  0.000  255.1  19.99
254.000  0.245  0.289  1.013  0.002  255.9  19.99
253.000  0.036  0.060  1.013  0.000  256.6  19.98
252.000  0.086  0.096  1.013  0.001  257.4  19.98
251.000  0.017  0.129  1.013  0.000  258.1  19.99
250.000  -0.038  0.129  1.013  -0.000  258.8  19.99
249.000  -0.031  0.151  1.013  -0.000  259.4  19.99
248.000  0.130  0.165  1.013  0.001  260.1  19.99
247.000  0.220  0.111  1.013  0.002  260.6  19.99
246.000  0.024  0.170  1.013  0.000  261.4  19.98
245.000  0.562  0.122  1.013  0.006  262.1  19.98
244.000  0.215  0.141  1.013  0.002  262.8  19.98
243.000  0.363  0.122  1.013  0.004  263.4  19.98
242.000  0.202  0.303  1.013  0.002  264.0  19.99
241.000  0.036  0.269  1.013  0.000  264.7  19.98
240.000  0.402  0.174  1.013  0.004  265.7  19.98
239.000  0.117  0.120  1.013  0.001  266.5  19.99
238.000  -0.015  0.093  1.013  -0.000  267.4  19.99
237.000  0.294  0.146  1.013  0.003  268.8  19.99
236.000  -0.122  0.212  1.013  -0.001  269.7  19.99
