Time (µs), carbonic anhydrase A1 12:02:17 , carbonic anhydrase A2 12:05:51 , carbonic anhydrase A3 12:09:27 , carbonic anhydrase A4 12:13:00 , carbonic anhydrase A5 12:16:37 , carbonic anhydrase A1 12:20:14 , carbonic anhydrase A2 12:23:51 , carbonic anhydrase A3 12:27:25 , carbonic anhydrase A4 12:30:59 , carbonic anhydrase A5 12:34:33 , carbonic anhydrase A1 12:38:11 , carbonic anhydrase A2 12:41:47 , carbonic anhydrase A3 12:45:33 , carbonic anhydrase A4 12:49:12 , carbonic anhydrase A5 12:52:45 , carbonic anhydrase A1 12:56:24 , carbonic anhydrase A2 12:59:57 , carbonic anhydrase A3 13:03:36 , carbonic anhydrase A4 13:07:13 , carbonic anhydrase A5 13:10:48 , carbonic anhydrase A1 13:14:26 , carbonic anhydrase A2 13:18:21 , carbonic anhydrase A3 13:22:03 , carbonic anhydrase A4 13:25:48 , carbonic anhydrase A5 13:29:27 ,
0.1,1.07957,1.08139,1.07561,1.05726,1.10868,1.08826,1.08231,1.07576,1.05526,1.10356,1.08765,1.08554,1.07692,1.0537,1.1001,1.08773,1.08192,1.08365,1.05373,1.10217,1.08247,1.07951,1.08626,1.05717,1.09901,
0.2,1.11634,1.11774,1.11185,1.09295,1.14605,1.12561,1.11857,1.11202,1.09094,1.14069,1.12481,1.12195,1.11311,1.08929,1.13726,1.12472,1.11832,1.12014,1.08926,1.13934,1.11938,1.11589,1.12284,1.09289,1.13596,
0.3,1.11508,1.11646,1.11053,1.09197,1.1445,1.12404,1.11742,1.11071,1.08995,1.13919,1.12338,1.12072,1.11179,1.08829,1.13576,1.12318,1.11706,1.11885,1.08824,1.13806,1.11779,1.11453,1.12155,1.09186,1.13456,
0.4,1.11379,1.11542,1.10955,1.09099,1.14311,1.12265,1.11629,1.10964,1.08907,1.13786,1.12207,1.11956,1.11081,1.08755,1.13456,1.12197,1.116,1.11776,1.08737,1.13673,1.11668,1.11352,1.12042,1.0909,1.13317,
0.5,1.11268,1.11449,1.10855,1.09016,1.1421,1.12178,1.11536,1.10885,1.08828,1.13675,1.12098,1.11868,1.10985,1.08679,1.13344,1.12081,1.11505,1.11665,1.0866,1.13547,1.11547,1.11267,1.11932,1.09021,1.13207,
0.6,1.11173,1.11353,1.10768,1.0894,1.14088,1.12062,1.11446,1.10786,1.08756,1.13579,1.11994,1.1177,1.10894,1.08596,1.13248,1.11975,1.11417,1.11573,1.08586,1.13438,1.11462,1.11167,1.1184,1.08948,1.13099,
0.7,1.11103,1.11265,1.10699,1.08866,1.13975,1.11976,1.11362,1.10711,1.08683,1.13453,1.119,1.11688,1.10808,1.0854,1.13145,1.11904,1.11327,1.11487,1.08522,1.13338,1.11377,1.1109,1.11741,1.08878,1.12997,
0.8,1.11007,1.1119,1.10617,1.08795,1.13855,1.1189,1.11279,1.10646,1.08628,1.13351,1.11814,1.11606,1.10725,1.08466,1.13058,1.11801,1.11252,1.11411,1.08473,1.1323,1.11273,1.11011,1.11654,1.08809,1.12906,
0.9,1.10919,1.11107,1.1055,1.08743,1.13772,1.1179,1.11194,1.10565,1.08564,1.13262,1.11725,1.11518,1.10649,1.08418,1.12964,1.11707,1.11171,1.11316,1.08395,1.13149,1.11201,1.10947,1.1157,1.08753,1.12803,
1,1.10846,1.11025,1.10469,1.08691,1.13681,1.11713,1.11121,1.10485,1.08501,1.13162,1.11635,1.11438,1.10565,1.08362,1.12863,1.11635,1.11101,1.11244,1.0835,1.13051,1.11111,1.10858,1.11492,1.08701,1.1271,
1.1,1.10756,1.10952,1.10394,1.08617,1.13582,1.11625,1.11036,1.10418,1.08447,1.13069,1.11552,1.11367,1.1048,1.08291,1.12784,1.11549,1.11025,1.11172,1.08268,1.1297,1.11024,1.10773,1.11416,1.08632,1.12627,
1.2,1.10682,1.1088,1.10328,1.08552,1.13487,1.11542,1.10972,1.10339,1.08382,1.12975,1.11467,1.11285,1.10417,1.08238,1.12684,1.11474,1.1095,1.11097,1.08226,1.12861,1.10955,1.10709,1.11338,1.08576,1.12542,
1.3,1.10614,1.10819,1.10251,1.08497,1.13393,1.1149,1.10891,1.10273,1.08341,1.12875,1.11386,1.1122,1.10332,1.08179,1.12611,1.11396,1.10869,1.11011,1.08175,1.12793,1.10863,1.10646,1.11256,1.08509,1.12438,
1.4,1.10534,1.1074,1.10189,1.08445,1.13313,1.11376,1.10823,1.10201,1.08279,1.12785,1.11335,1.1114,1.10269,1.08127,1.12517,1.11308,1.10803,1.10935,1.08126,1.127,1.10786,1.10575,1.11182,1.08475,1.12351,
1.5,1.10465,1.10673,1.10132,1.08389,1.1321,1.11315,1.10754,1.10137,1.08222,1.12712,1.11233,1.1107,1.10183,1.08077,1.12457,1.11252,1.10729,1.1085,1.08062,1.12598,1.10714,1.10488,1.11101,1.08401,1.12266,
1.6,1.10405,1.10582,1.1004,1.08316,1.13117,1.11219,1.10682,1.10068,1.08156,1.12619,1.11161,1.10998,1.10123,1.08014,1.12359,1.1116,1.10659,1.1078,1.08021,1.12522,1.10638,1.10428,1.11031,1.08348,1.12187,
1.7,1.10323,1.10526,1.09979,1.0827,1.13042,1.11176,1.10606,1.10002,1.08107,1.12536,1.11093,1.10925,1.1005,1.07968,1.12288,1.11083,1.10587,1.10702,1.07951,1.12442,1.10569,1.10354,1.10966,1.08298,1.121,
1.8,1.10252,1.10454,1.09918,1.08209,1.12947,1.11089,1.10531,1.09935,1.08053,1.12445,1.10999,1.10854,1.09977,1.07921,1.12196,1.11012,1.1052,1.10639,1.07901,1.1236,1.10489,1.10293,1.10882,1.08243,1.12013,
1.9,1.10179,1.10389,1.0985,1.08149,1.12857,1.10996,1.10465,1.0987,1.08,1.12349,1.10921,1.10782,1.09913,1.07856,1.1212,1.10932,1.1045,1.10566,1.07841,1.12266,1.10434,1.10219,1.1081,1.08189,1.11932,
2,1.10109,1.10319,1.09788,1.08094,1.12761,1.10954,1.104,1.09804,1.07943,1.12283,1.1087,1.1072,1.09848,1.07814,1.1204,1.10858,1.10369,1.10489,1.07807,1.12184,1.10348,1.10144,1.10736,1.08142,1.11863,
2.1,1.10043,1.1025,1.09724,1.08043,1.12694,1.10865,1.10331,1.09733,1.07892,1.12193,1.10804,1.10649,1.09766,1.0775,1.11954,1.10799,1.10315,1.10418,1.07738,1.12113,1.10276,1.10088,1.10664,1.08081,1.11776,
2.2,1.0997,1.10187,1.09661,1.07992,1.12604,1.10802,1.10266,1.09666,1.07842,1.12115,1.10724,1.1057,1.09707,1.07697,1.11884,1.10715,1.10249,1.10363,1.07697,1.12018,1.10218,1.10027,1.10585,1.08034,1.11696,
2.3,1.09908,1.10111,1.09591,1.0794,1.12516,1.10729,1.10184,1.09612,1.07794,1.1203,1.10641,1.10505,1.09646,1.07653,1.11801,1.10638,1.10186,1.10285,1.07626,1.1194,1.1013,1.09956,1.10537,1.0798,1.11619,
2.4,1.09828,1.10056,1.09537,1.07883,1.12435,1.10653,1.10122,1.09543,1.07754,1.11955,1.10586,1.10435,1.09568,1.07596,1.11739,1.10577,1.10114,1.10212,1.07596,1.1187,1.10057,1.099,1.10452,1.07932,1.11544,
2.5,1.09785,1.09981,1.09462,1.07832,1.12343,1.10578,1.10058,1.09492,1.07689,1.11857,1.10507,1.10376,1.09512,1.0756,1.11654,1.1051,1.10046,1.10138,1.07533,1.11781,1.09988,1.09828,1.10374,1.07874,1.11459,
2.6,1.09706,1.09919,1.094,1.07792,1.12274,1.10515,1.09996,1.09422,1.07648,1.11779,1.10422,1.10301,1.09439,1.07503,1.11574,1.10429,1.09983,1.10077,1.07489,1.11711,1.09927,1.0977,1.10316,1.07828,1.11374,
2.7,1.09658,1.0986,1.09343,1.07726,1.12202,1.10445,1.09936,1.09362,1.07595,1.11718,1.10382,1.10241,1.09379,1.07451,1.1151,1.10367,1.09917,1.10003,1.07434,1.11635,1.09866,1.09692,1.10252,1.07779,1.11326,
2.8,1.09573,1.0979,1.09278,1.0768,1.1211,1.10381,1.09874,1.093,1.07549,1.11624,1.1029,1.1018,1.09317,1.07396,1.11434,1.10304,1.09859,1.09942,1.07397,1.11567,1.09792,1.09643,1.10186,1.07723,1.11231,
2.9,1.09516,1.09725,1.09216,1.07627,1.12023,1.10322,1.09813,1.09231,1.07488,1.1155,1.10221,1.10112,1.09264,1.07356,1.11349,1.10222,1.09791,1.09872,1.07337,1.11469,1.09727,1.09579,1.10111,1.07689,1.11154,
