C:\Users\fileExample.mxp
Segment  2 Plateau  1 Well  1
                                    	          ROX			
                                    	   1	      1706	 25.0	
                                    	   2	      2581	 25.8	
                                    	   3	      2587	 27.0	
                                    	   4	      2589	 28.0	
                                    	   5	      2581	 29.0	
                                    	   6	      2587	 29.8	
                                    	   7	      2590	 30.8	
                                    	   8	      2581	 31.8	
                                    	   9	      2589	 32.8	
                                    	  10	      2589	 33.8	
                                    	  11	      2594	 34.8	
                                    	  12	      2582	 35.8	
                                    	  13	      2583	 36.8	
                                    	  14	      2580	 37.8	
                                    	  15	      2570	 38.8	
                                    	  16	      2586	 39.8	
                                    	  17	      2579	 40.7	
                                    	  18	      2576	 41.8	
                                    	  19	      2572	 42.8	
                                    	  20	      2574	 43.7	
                                    	  21	      2576	 44.8	
                                    	  22	      2568	 45.8	
                                    	  23	      2564	 46.8	
                                    	  24	      2566	 47.7	
                                    	  25	      2575	 48.7	
                                    	  26	      2565	 49.7	
                                    	  27	      2574	 50.7	
                                    	  28	      2573	 51.8	
                                    	  29	      2582	 52.7	
                                    	  30	      2570	 53.7	
                                    	  31	      2572	 54.8	
                                    	  32	      2584	 55.7	
                                    	  33	      2579	 56.7	
                                    	  34	      2584	 57.7	
                                    	  35	      2594	 58.7	
                                    	  36	      2595	 59.7	
                                    	  37	      2601	 60.7	
                                    	  38	      2631	 61.7	
                                    	  39	      2670	 62.8	
                                    	  40	      2702	 63.8	
                                    	  41	      2815	 64.7	
                                    	  42	      2977	 65.7	
                                    	  43	      3245	 66.7	
                                    	  44	      3633	 67.9	
                                    	  45	      4125	 68.7	
                                    	  46	      4646	 69.7	
                                    	  47	      5083	 70.7	
                                    	  48	      5313	 71.9	
                                    	  49	      5379	 72.7	
                                    	  50	      5365	 73.7	
                                    	  51	      5336	 74.9	
                                    	  52	      5361	 75.9	
                                    	  53	      5335	 76.7	
                                    	  54	      5351	 77.7	
                                    	  55	      5383	 78.7	
                                    	  56	      5382	 79.9	
                                    	  57	      5289	 80.9	
                                    	  58	      5313	 81.7	
                                    	  59	      5268	 82.9	
                                    	  60	      5247	 83.9	
                                    	  61	      5183	 84.7	
                                    	  62	      5168	 85.7	
                                    	  63	      5115	 86.7	
                                    	  64	      5082	 87.7	
                                    	  65	      5003	 88.7	
                                    	  66	      4966	 89.9	
                                    	  67	      4966	 90.7	
                                    	  68	      4933	 91.7	
                                    	  69	      4886	 93.0	
                                    	  70	      4845	 93.7	
Segment  2 Plateau  1 Well  2
                                    	          ROX			
                                    	   1	      1707	 25.0	
                                    	   2	      2622	 25.8	
                                    	   3	      2630	 27.0	
                                    	   4	      2635	 28.0	
                                    	   5	      2633	 29.0	
                                    	   6	      2627	 29.8	
                                    	   7	      2635	 30.8	
                                    	   8	      2633	 31.8	
                                    	   9	      2623	 32.8	
                                    	  10	      2618	 33.8	
                                    	  11	      2625	 34.8	
                                    	  12	      2609	 35.8	
                                    	  13	      2620	 36.8	
                                    	  14	      2607	 37.8	
                                    	  15	      2615	 38.8	
                                    	  16	      2617	 39.8	
                                    	  17	      2604	 40.7	
                                    	  18	      2600	 41.8	
                                    	  19	      2608	 42.8	
                                    	  20	      2600	 43.7	
                                    	  21	      2599	 44.8	
                                    	  22	      2605	 45.8	
                                    	  23	      2592	 46.8	
                                    	  24	      2591	 47.7	
                                    	  25	      2596	 48.7	
                                    	  26	      2588	 49.7	
                                    	  27	      2594	 50.7	
                                    	  28	      2597	 51.8	
                                    	  29	      2592	 52.7	
                                    	  30	      2592	 53.7	
                                    	  31	      2597	 54.8	
                                    	  32	      2601	 55.7	
                                    	  33	      2606	 56.7	
                                    	  34	      2602	 57.7	
                                    	  35	      2618	 58.7	
                                    	  36	      2619	 59.7	
                                    	  37	      2629	 60.7	
                                    	  38	      2667	 61.7	
                                    	  39	      2689	 62.8	
                                    	  40	      2762	 63.8	
                                    	  41	      2904	 64.7	
                                    	  42	      3116	 65.7	
                                    	  43	      3457	 66.7	
                                    	  44	      3944	 67.9	
                                    	  45	      4545	 68.7	
                                    	  46	      5125	 69.7	
