frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
1.100000000000000000e+01,8.800000000000000000e+01,5.200000000000000000e+01,-1.469164639711380005e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
3.100000000000000000e+01,8.600000000000000000e+01,5.200000000000000000e+01,5.610836669802665710e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.765634076752546378e+01,1.000000000000000000e+00
3.300000000000000000e+01,9.300000000000000000e+01,8.900000000000000000e+01,-6.202413234859704971e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.765634076752546378e+01,1.000000000000000000e+00
4.000000000000000000e+01,2.000000000000000000e+01,5.200000000000000000e+01,-1.654610037803649902e-02,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.060660171779821326e+02,1.000000000000000000e+00
5.000000000000000000e+01,9.700000000000000000e+01,3.100000000000000000e+01,-1.413069218397140503e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.807383266328314164e+01,1.000000000000000000e+00
5.100000000000000000e+01,1.600000000000000000e+01,1.100000000000000000e+02,-1.409819126129150391e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.812746812182611222e+01,1.000000000000000000e+00
5.200000000000000000e+01,1.100000000000000000e+01,1.200000000000000000e+01,-1.494942158460617065e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.807383266328314164e+01,1.000000000000000000e+00
5.900000000000000000e+01,7.200000000000000000e+01,1.000000000000000000e+01,-1.282266341149806976e-02,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.297590011563598011e+01,1.000000000000000000e+00
5.800000000000000000e+01,1.800000000000000000e+01,7.300000000000000000e+01,-9.223815985023975372e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.297590011563598011e+01,1.000000000000000000e+00
7.200000000000000000e+01,1.400000000000000000e+01,4.700000000000000000e+01,-1.299104392528533936e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.427188724235730888e+01,1.000000000000000000e+00
7.600000000000000000e+01,1.010000000000000000e+02,9.000000000000000000e+01,-1.410729885101318359e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.113725912051557998e+01,1.000000000000000000e+00
7.800000000000000000e+01,1.000000000000000000e+01,9.500000000000000000e+01,-9.352027438580989838e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.113725912051557998e+01,1.000000000000000000e+00
8.900000000000000000e+01,9.000000000000000000e+01,1.400000000000000000e+01,-6.169455591589212418e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.060788100849390503e+01,1.000000000000000000e+00
9.200000000000000000e+01,6.500000000000000000e+01,4.600000000000000000e+01,-1.227530557662248611e-02,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.060788100849390503e+01,1.000000000000000000e+00
9.400000000000000000e+01,3.300000000000000000e+01,1.600000000000000000e+01,-1.546386182308197021e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.386342439892261780e+01,1.000000000000000000e+00
9.500000000000000000e+01,6.000000000000000000e+00,6.100000000000000000e+01,-9.179001674056053162e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.247856705360770491e+01,1.000000000000000000e+00
1.020000000000000000e+02,3.900000000000000000e+01,6.500000000000000000e+01,-9.447846561670303345e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.140175425099137918e+01,1.000000000000000000e+00
1.050000000000000000e+02,3.900000000000000000e+01,1.400000000000000000e+01,-8.438572287559509277e-03,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.846049894151541437e+01,1.000000000000000000e+00
1.050000000000000000e+02,5.700000000000000000e+01,1.130000000000000000e+02,-5.979071557521820068e-02,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000000e+01,1.000000000000000000e+00
1.050000000000000000e+02,3.600000000000000000e+01,5.400000000000000000e+01,-1.440954804420471191e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.140175425099137918e+01,1.000000000000000000e+00
1.070000000000000000e+02,2.300000000000000000e+01,1.130000000000000000e+02,-1.356645971536636353e-01,nan,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000000e+01,1.000000000000000000e+00
